Date,Price,Volume
2026-01-02,243.85,45000000
2026-01-03,246.10,52000000
2026-01-04,241.70,48000000
2026-01-05,245.30,51000000
2026-01-06,248.75,57000000
2026-01-07,247.20,49000000
2026-01-08,251.40,63000000
2026-01-09,249.85,55000000
2026-01-10,253.60,61000000
2026-01-11,256.25,68000000
2026-01-12,254.90,59000000
2026-01-13,258.40,72000000
2026-01-14,255.75,64000000
2026-01-15,252.30,58000000
2026-01-16,250.10,53000000
2026-01-17,253.85,60000000
2026-01-18,257.45,69000000
2026-01-19,260.20,75000000
2026-01-20,258.70,67000000
2026-01-21,262.15,81000000
